"","order_id","cust_id","prod_id","order_quantity","order_date","order_value","order_price"
"1","o001","cust048","prod01",6,2023-01-20,291.6,48.6
"2","o139","cust041","prod11",1,2023-01-20,19.482,19.482
"3","o367","cust017","prod01",1,2022-05-13,48.6,48.6
"4","o086","cust044","prod17",7,2022-07-24,55.216,7.888
"5","o343","cust025","prod06",2,2022-08-17,184.88,92.44
"6","o438","cust079","prod06",2,2023-09-29,184.88,92.44
"7","o204","cust084","prod11",9,2023-05-20,175.338,19.482
"8","o444","cust046","prod12",10,2022-01-01,307.9,30.79
"9","o362","cust095","prod01",10,2022-12-03,486,48.6
"10","o184","cust025","prod19",5,2022-07-12,5.73,1.146
"11","o123","cust085","prod19",6,2023-01-20,6.876,1.146
"12","o226","cust075","prod06",4,2024-01-27,369.76,92.44
"13","o013","cust043","prod06",10,2023-12-22,924.4,92.44
"14","o131","cust035","prod12",1,2022-03-26,30.79,30.79
"15","o385","cust001","prod12",5,2022-12-27,153.95,30.79
"16","o413","cust026","prod19",7,2023-01-08,8.022,1.146
"17","o063","cust046","prod13",5,2023-08-12,42.825,8.565
"18","o259","cust073","prod08",5,2022-07-24,149.35,29.87
"19","o081","cust029","prod12",1,2023-05-08,30.79,30.79
"20","o101","cust031","prod03",1,2022-08-17,99.18,99.18
"21","o283","cust021","prod12",1,2023-01-20,30.79,30.79
"22","o299","cust097","prod17",5,2023-11-04,39.44,7.888
"23","o444","cust046","prod12",2,2022-01-01,61.58,30.79
"24","o395","cust031","prod17",1,2024-02-08,7.888,7.888
"25","o442","cust073","prod12",8,2022-01-13,246.32,30.79
"26","o401","cust037","prod01",6,2022-03-02,291.6,48.6
"27","o264","cust085","prod01",2,2023-12-10,97.2,48.6
"28","o416","cust078","prod01",2,2022-09-10,97.2,48.6
"29","o433","cust006","prod01",8,2022-03-02,388.8,48.6
"30","o479","cust055","prod14",9,2023-06-01,29.43,3.27
"31","o391","cust084","prod01",6,2023-07-07,291.6,48.6
"32","o429","cust083","prod01",1,2022-01-01,48.6,48.6
"33","o085","cust078","prod01",7,2022-09-22,340.2,48.6
"34","o483","cust028","prod06",2,2023-03-21,184.88,92.44
"35","o465","cust038","prod12",2,2023-11-28,61.58,30.79
"36","o103","cust016","prod14",9,2022-02-18,29.43,3.27
"37","o178","cust015","prod01",1,2023-07-07,48.6,48.6
"38","o201","cust089","prod07",2,2023-02-13,18.616,9.308
"39","o339","cust090","prod07",9,2022-03-14,83.772,9.308
"40","o152","cust090","prod14",4,2022-08-29,13.08,3.27
"41","o362","cust095","prod19",8,2022-12-03,9.168,1.146
"42","o431","cust034","prod01",10,2022-11-09,486,48.6
"43","o229","cust019","prod07",1,2023-09-05,9.308,9.308
"44","o110","cust063","prod01",4,2023-03-21,194.4,48.6
"45","o262","cust028","prod07",2,2022-07-12,18.616,9.308
"46","o014","cust048","prod01",3,2022-03-26,145.8,48.6
"47","o217","cust098","prod09",2,2022-02-18,125.38,62.69
"48","o357","cust056","prod03",4,2024-02-20,396.72,99.18
"49","o145","cust064","prod07",5,2022-03-02,46.54,9.308
"50","o059","cust066","prod07",5,2024-01-15,46.54,9.308
"51","o406","cust097","prod12",5,2024-01-15,153.95,30.79
"52","o203","cust054","prod12",1,2022-11-21,30.79,30.79
"53","o089","cust094","prod01",3,2022-08-17,145.8,48.6
"54","o352","cust028","prod01",7,2024-01-03,340.2,48.6
"55","o256","cust096","prod01",2,2023-07-07,97.2,48.6
"56","o195","cust004","prod01",5,2022-03-26,243,48.6
"57","o322","cust022","prod17",4,2023-05-20,31.552,7.888
"58","o210","cust001","prod12",10,2022-11-09,307.9,30.79
"59","o172","cust035","prod17",6,2024-01-03,47.328,7.888
