"","prod_id","prod_name","prod_desc","review_id","prod_rating","review_date","prod_unit_price","voucher","prod_url"
"1","prod21","Bean Bros.","Explore different coffee flavors with this variety pack of freshly roasted organic coffee beans.","rev21",1,"05-11-2020",65.82,NA,"https://group9.co.uk/Bean-Bros.-prod21"
"2","prod22","EcoThreads","Sustainable and stylish t-shirt made from soft organic cotton. Available in a variety of colors.","rev22",4,"05-11-2020",99.98,NA,"https://group9.co.uk/EcoThreads-prod22"
"3","prod23","PowerUp","Charge your phone wirelessly with this convenient and stylish charging pad.","rev23",4,"03-02-2005",62.02,"50%","https://group9.co.uk/PowerUp-prod23"
"4","prod24","SharpStyle","Maintain a well-groomed beard with this complete beard grooming kit containing beard oil, balm, and comb.","rev24",1,"25-01-2011",28.01,"10%","https://group9.co.uk/SharpStyle-prod24"
"5","prod25","RelaxMax","Supportive and comfortable desk chair with adjustable lumbar support and breathable mesh back.","rev25",2,"05-11-2020",59.06,NA,"https://group9.co.uk/RelaxMax-prod25"
"6","prod26","HydroLife","Eco-friendly and reusable water bottle keeps your drinks cold for hours. Perfect for staying hydrated on the go.","rev26",1,"19-07-2023",94.81,"10%","https://group9.co.uk/HydroLife-prod26"
"7","prod27","PackSmart","Save space on your next trip with this expandable duffel bag that folds down compactly when not in use.","rev27",5,"14-01-2017",50.03,NA,"https://group9.co.uk/PackSmart-prod27"
"8","prod28","SafePhone","Protect your phone from water damage and drops with this durable and stylish phone case.","rev28",4,"19-07-2023",3.28,"10%","https://group9.co.uk/SafePhone-prod28"
"9","prod29","CozyCloud","Drift off to sleep faster and feel more relaxed with this comforting weighted blanket.","rev29",3,"05-11-2020",2.21,NA,"https://group9.co.uk/CozyCloud-prod29"
"10","prod30","AudioTech","Block out distractions and immerse yourself in your music with these wireless headphones featuring active noise cancellation.","rev30",1,"21-07-2010",99.82,NA,"https://group9.co.uk/AudioTech-prod30"
"11","prod31","Scentsational","Fill your home with delightful fragrances with these hand-poured soy candles made with essential oils.","rev31",1,"14-01-2017",19.56,"10%","https://group9.co.uk/Scentsational-prod31"
"12","prod32","InspireMe","Spark your creativity and capture your thoughts with this beautiful journal filled with inspiring quotes.","rev32",2,"05-01-2006",45.25,NA,"https://group9.co.uk/InspireMe-prod32"
"13","prod33","LumiBeam","Turn any space into a movie theater with this compact projector. Perfect for camping trips, presentations, or movie nights.","rev33",3,"14-01-2017",29.15,NA,"https://group9.co.uk/LumiBeam-prod33"
"14","prod34","ColorZen","Relax and unwind with this adult coloring book featuring intricate patterns and designs.","rev34",5,"05-01-2006",85.72,"50%","https://group9.co.uk/ColorZen-prod34"
"15","prod35","FlawlessFaces","Apply your makeup flawlessly with this high-quality makeup brush set.","rev35",3,"25-01-2011",51.34,NA,"https://group9.co.uk/FlawlessFaces-prod35"
"16","prod36","FitLife","Track your steps, calories burned, and sleep quality with this stylish fitness tracker watch.","rev36",1,"25-01-2011",52.39,"10%","https://group9.co.uk/FitLife-prod36"
"17","prod37","GreenThumbs","Grow your own fresh herbs at home with this easy-to-use herb garden kit.","rev37",4,"21-07-2010",55.05,"10%","https://group9.co.uk/GreenThumbs-prod37"
"18","prod38","TranquilGlow","Create a calming atmosphere with this natural salt lamp that emits a soft, pink glow.","rev38",3,"05-01-2006",29.9,"10%","https://group9.co.uk/TranquilGlow-prod38"
"19","prod39","PlanItAll","Organize your days and weeks with this planner featuring daily and weekly spreads, habit trackers, and motivational stickers.","rev39",5,"25-01-2011",80.73,NA,"https://group9.co.uk/PlanItAll-prod39"
