"","payment_id","order_id","payment_method","payment_amount","payment_status","payment_date"
"1","pm001","o001","PayPal",506.42,"Done","20-01-2023"
"2","pm002","o002","Mastercard",558.325,"Done","04-11-2023"
"3","pm003","o003","Apple Pay",700.468,"Done","10-12-2023"
"4","pm004","o004","Mastercard",534.045,"Done","20-05-2023"
"5","pm005","o005","Visa",301.46,"Done","11-10-2023"
"6","pm006","o006","GPay",522.148,"Done","02-03-2022"
"7","pm007","o007","PayPal",906.97,"Done","31-07-2023"
"8","pm008","o008","Visa",567.928,"Done","16-11-2023"
"9","pm009","o009","Visa",1102.94,"Done","12-08-2023"
"10","pm010","o010","Apple Pay",544.43,"Done","05-08-2022"
"11","pm011","o011","Mastercard",391.95,"Done","30-06-2022"
"12","pm012","o012","PayPal",439.33,"Done","08-05-2023"
"13","pm013","o013","Bank Transfer",1170.72,"Done","22-12-2023"
"14","pm014","o014","Mastercard",268.605,"Done","26-03-2022"
"15","pm015","o015","Visa",632.784,"Done","10-09-2022"
"16","pm016","o016","PayPal",598.054,"Done","01-02-2023"
"17","pm017","o017","Apple Pay",208.544,"Done","11-10-2023"
"18","pm018","o018","Visa",772.46,"Done","19-07-2023"
"19","pm019","o019","Bank Transfer",959.66,"Done","23-10-2023"
"20","pm020","o020","Visa",358.34,"Done","25-01-2022"
"21","pm021","o021","PayPal",505.51,"Done","01-05-2022"
"22","pm022","o022","PayPal",776.164,"Done","01-05-2022"
"23","pm023","o023","Apple Pay",946.26,"Done","18-06-2022"
"24","pm024","o024","PayPal",585.39,"Done","28-10-2022"
"25","pm025","o025","GPay",789.324,"Done","21-11-2022"
"26","pm026","o026","GPay",352.18,"Done","21-11-2022"
"27","pm027","o027","Apple Pay",863.77,"Done","24-07-2022"
"28","pm028","o028","Apple Pay",816.238,"Done","08-05-2023"
"29","pm029","o029","Apple Pay",326.474,"Done","17-08-2022"
"30","pm030","o030","Apple Pay",387.39,"Done","25-02-2023"
"31","pm031","o031","Bank Transfer",358.96,"Done","06-06-2022"
"32","pm032","o032","Apple Pay",828.44,"Done","24-07-2022"
"33","pm033","o033","PayPal",116.892,"Done","02-04-2023"
"34","pm034","o034","Visa",208.415,"Done","17-08-2022"
"35","pm035","o035","Visa",241.788,"Done","25-05-2022"
"36","pm036","o036","Apple Pay",665.17,"Done","04-11-2023"
"37","pm037","o037","PayPal",199.92,"Done","29-08-2022"
"38","pm038","o038","Visa",58.922,"Done","02-03-2022"
"39","pm039","o039","Bank Transfer",938.222,"Done","21-11-2022"
