"","membership_type_id","cust_id","membership_type"
"1",3,"cust103","Premium"
"2",3,"cust144","Premium"
"3",3,"cust136","Premium"
"4",3,"cust130","Premium"
"5",3,"cust109","Premium"
"6",3,"cust114","Premium"
"7",3,"cust116","Premium"
"8",3,"cust173","Premium"
"9",3,"cust143","Premium"
"10",3,"cust183","Premium"
"11",3,"cust106","Premium"
"12",3,"cust155","Premium"
"13",3,"cust186","Premium"
"14",3,"cust122","Premium"
"15",3,"cust196","Premium"
"16",3,"cust150","Premium"
"17",3,"cust112","Premium"
"18",3,"cust178","Premium"
"19",3,"cust161","Premium"
"20",3,"cust115","Premium"
"21",3,"cust168","Premium"
"22",3,"cust156","Premium"
"23",3,"cust151","Premium"
"24",3,"cust132","Premium"
"25",3,"cust159","Premium"
"26",3,"cust138","Premium"
"27",3,"cust187","Premium"
"28",3,"cust176","Premium"
"29",3,"cust198","Premium"
"30",3,"cust141","Premium"
"31",3,"cust167","Premium"
"32",3,"cust158","Premium"
"33",3,"cust200","Premium"
"34",1,"cust101","Student"
"35",1,"cust102","Student"
"36",1,"cust194","Student"
"37",1,"cust169","Student"
"38",1,"cust105","Student"
"39",1,"cust119","Student"
"40",1,"cust107","Student"
"41",1,"cust147","Student"
"42",1,"cust135","Student"
"43",1,"cust123","Student"
"44",1,"cust111","Student"
"45",1,"cust164","Student"
"46",1,"cust126","Student"
"47",1,"cust127","Student"
"48",1,"cust154","Student"
"49",1,"cust120","Student"
"50",1,"cust195","Student"
"51",1,"cust170","Student"
"52",1,"cust145","Student"
"53",1,"cust124","Student"
"54",1,"cust160","Student"
"55",1,"cust174","Student"
"56",1,"cust162","Student"
"57",1,"cust180","Student"
"58",1,"cust177","Student"
"59",1,"cust165","Student"
"60",1,"cust192","Student"
"61",1,"cust184","Student"
"62",1,"cust133","Student"
"63",1,"cust190","Student"
"64",1,"cust191","Student"
"65",1,"cust189","Student"
"66",1,"cust146","Student"
"67",1,"cust193","Student"
"68",2,"cust110","Trial"
"69",2,"cust140","Trial"
"70",2,"cust149","Trial"
"71",2,"cust113","Trial"
"72",2,"cust153","Trial"
"73",2,"cust108","Trial"
"74",2,"cust104","Trial"
"75",2,"cust118","Trial"
"76",2,"cust129","Trial"
"77",2,"cust121","Trial"
"78",2,"cust139","Trial"
"79",2,"cust175","Trial"
"80",2,"cust137","Trial"
"81",2,"cust142","Trial"
"82",2,"cust117","Trial"
"83",2,"cust166","Trial"
"84",2,"cust171","Trial"
"85",2,"cust172","Trial"
"86",2,"cust134","Trial"
"87",2,"cust131","Trial"
"88",2,"cust188","Trial"
"89",2,"cust163","Trial"
"90",2,"cust125","Trial"
"91",2,"cust152","Trial"
"92",2,"cust179","Trial"
"93",2,"cust128","Trial"
"94",2,"cust181","Trial"
"95",2,"cust182","Trial"
"96",2,"cust157","Trial"
"97",2,"cust197","Trial"
"98",2,"cust185","Trial"
"99",2,"cust199","Trial"
"100",2,"cust148","Trial"
