"","supplier_id","supplier_name","supplier_contact","supplier_postcode"
"1","s1","Cozy Haven Home","0794651820","WC1N3BJ"
"2","s2","Tech Blitz","0793986696","WC1N3HH"
"3","s3","The Happy Hobbyist","0797552199","WC1N1QS"
"4","s4","Green Earth Goods","0796704723","WC1A9JJ"
"5","s5","The Wandering Nomad","0792144311","WC2A3AJ"
"6","s6","The Organized Nest","0792428047","WC1V6BA"
"7","s7","The Pampered Pup","0791521783","WC1H9HJ"
"8","s8","The Global Grocer","0796032848","WC1E6DD"
"9","s9","Happy Camper Haven","0798747670","WC1V7YZ"
"10","s10","The Party People","0794236312","WC2E8JR"
"11","s11","The Beauty Vault","0796471498","WC2E8LS"
